url,status,route_category,findings
"https://jeremyfontenot.online/assets/visuals/home-lab-evidence-system.svg","200","static-asset-or-document","coop-not-enabled|coep-not-enabled|corp-not-enabled|wildcard-cors-public-static|server-header-discloses-edge"
"https://jeremyfontenot.online/contact.html","200","recruiter-facing","coop-not-enabled|coep-not-enabled|corp-not-enabled|wildcard-cors-public-static|server-header-discloses-edge"
"https://jeremyfontenot.online/dashboard.html","200","recruiter-facing","coop-not-enabled|coep-not-enabled|corp-not-enabled|wildcard-cors-public-static|server-header-discloses-edge"
"https://jeremyfontenot.online/evidence-library/","200","evidence","coop-not-enabled|coep-not-enabled|corp-not-enabled|wildcard-cors-public-static|server-header-discloses-edge"
"https://jeremyfontenot.online/evidence-library/README.md","200","evidence","coop-not-enabled|coep-not-enabled|corp-not-enabled|wildcard-cors-public-static|server-header-discloses-edge"
"https://jeremyfontenot.online/evidence-library/architecture-diagrams/home-lab-network-topology-diagram-2026.svg","200","evidence","coop-not-enabled|coep-not-enabled|corp-not-enabled|wildcard-cors-public-static|server-header-discloses-edge"
"https://jeremyfontenot.online/evidence-library/architecture-diagrams/identity-access-ad-migration-diagram-2026.svg","200","evidence","coop-not-enabled|coep-not-enabled|corp-not-enabled|wildcard-cors-public-static|server-header-discloses-edge"
"https://jeremyfontenot.online/evidence-library/architecture-diagrams/m365-lab-baseline-preview.svg","200","evidence","coop-not-enabled|coep-not-enabled|corp-not-enabled|wildcard-cors-public-static|server-header-discloses-edge"
"https://jeremyfontenot.online/evidence-library/architecture-diagrams/mail-flow-troubleshooting-preview.svg","200","evidence","coop-not-enabled|coep-not-enabled|corp-not-enabled|wildcard-cors-public-static|server-header-discloses-edge"
"https://jeremyfontenot.online/evidence-library/architecture-diagrams/microsoft-365-lab-architecture-diagram-2026.svg","200","evidence","coop-not-enabled|coep-not-enabled|corp-not-enabled|wildcard-cors-public-static|server-header-discloses-edge"
"https://jeremyfontenot.online/evidence-library/architecture-diagrams/microsoft-365-lab-architecture-overview-2026.svg","200","evidence","coop-not-enabled|coep-not-enabled|corp-not-enabled|wildcard-cors-public-static|server-header-discloses-edge"
"https://jeremyfontenot.online/evidence-library/architecture-diagrams/pfsense-network-segmentation-diagram-2026.svg","200","evidence","coop-not-enabled|coep-not-enabled|corp-not-enabled|wildcard-cors-public-static|server-header-discloses-edge"
"https://jeremyfontenot.online/evidence-library/architecture-diagrams/pfsense-network-segmentation-preview.svg","200","evidence","coop-not-enabled|coep-not-enabled|corp-not-enabled|wildcard-cors-public-static|server-header-discloses-edge"
"https://jeremyfontenot.online/evidence-library/architecture-diagrams/vlan-architecture-diagram-README.md","200","evidence","coop-not-enabled|coep-not-enabled|corp-not-enabled|wildcard-cors-public-static|server-header-discloses-edge"
"https://jeremyfontenot.online/evidence-library/architecture-diagrams/vlan-architecture-diagram-dark.png","200","evidence","coop-not-enabled|coep-not-enabled|corp-not-enabled|wildcard-cors-public-static|server-header-discloses-edge"
"https://jeremyfontenot.online/evidence-library/architecture-diagrams/vlan-architecture-diagram-dark.svg","200","evidence","coop-not-enabled|coep-not-enabled|corp-not-enabled|wildcard-cors-public-static|server-header-discloses-edge"
"https://jeremyfontenot.online/evidence-library/architecture-diagrams/vlan-architecture-diagram.png","200","evidence","coop-not-enabled|coep-not-enabled|corp-not-enabled|wildcard-cors-public-static|server-header-discloses-edge"
"https://jeremyfontenot.online/evidence-library/architecture-diagrams/vlan-architecture-diagram.svg","200","evidence","coop-not-enabled|coep-not-enabled|corp-not-enabled|wildcard-cors-public-static|server-header-discloses-edge"
"https://jeremyfontenot.online/evidence-library/architecture/microsoft-365-architecture-overview.md","200","evidence","coop-not-enabled|coep-not-enabled|corp-not-enabled|wildcard-cors-public-static|server-header-discloses-edge"
"https://jeremyfontenot.online/evidence-library/automation/automation-framework-evidence.md","200","evidence","coop-not-enabled|coep-not-enabled|corp-not-enabled|wildcard-cors-public-static|server-header-discloses-edge"
"https://jeremyfontenot.online/evidence-library/automation/provisioning-change-record-2026.md","200","evidence","coop-not-enabled|coep-not-enabled|corp-not-enabled|wildcard-cors-public-static|server-header-discloses-edge"
"https://jeremyfontenot.online/evidence-library/automation/provisioning-script-evidence.md","200","evidence","coop-not-enabled|coep-not-enabled|corp-not-enabled|wildcard-cors-public-static|server-header-discloses-edge"
"https://jeremyfontenot.online/evidence-library/conditional-access/conditional-access-baseline-evidence.md","200","evidence","coop-not-enabled|coep-not-enabled|corp-not-enabled|wildcard-cors-public-static|server-header-discloses-edge"
"https://jeremyfontenot.online/evidence-library/evidence-source-map.csv","200","evidence","coop-not-enabled|coep-not-enabled|corp-not-enabled|wildcard-cors-public-static|server-header-discloses-edge"
"https://jeremyfontenot.online/evidence-library/governance/evidence-claim-governance-standard-2026.md","200","evidence","coop-not-enabled|coep-not-enabled|corp-not-enabled|wildcard-cors-public-static|server-header-discloses-edge"
"https://jeremyfontenot.online/evidence-library/incidents/dns-resolution-outage-incident-summary-2026.md","200","evidence","coop-not-enabled|coep-not-enabled|corp-not-enabled|wildcard-cors-public-static|server-header-discloses-edge"
"https://jeremyfontenot.online/evidence-library/index.html","200","evidence","coop-not-enabled|coep-not-enabled|corp-not-enabled|wildcard-cors-public-static|server-header-discloses-edge"
"https://jeremyfontenot.online/evidence-library/integrity/evidence-hashes.json","200","evidence","coop-not-enabled|coep-not-enabled|corp-not-enabled|wildcard-cors-public-static|server-header-discloses-edge"
